name,type,description,color,hp,attacks_name_1,attacks_name_2,attacks_cost_1,attacks_cost_2,attacks_damage_1,attacks_damage_2,attacks_description_1,attacks_description_2,abilities_name_1,abilities_description_1,retreat,weakness,rarity,stage,evolves_from,illustrator,setId,card_number,url
Vulpix,Pokemon,,Fire,50,,,['colorless'],,,,"Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.",,,,1,Water,Common,Basic,,Toshinao Aoki,A1,37,https://ptcgpocket.gg/cards/a1-37-vulpix
Ninetales,Pokemon,,Fire,90,Flamethrower,,"['fire', 'fire']",,90.0,,Discard a fire Energy from this Pokémon.,,,,1,Water,Uncommon,Stage 1,Vulpix,You Iribi,A1,38,https://ptcgpocket.gg/cards/a1-38-ninetales
Growlithe,Pokemon,,Fire,70,Bite,,"['colorless', 'colorless']",,20.0,,,,,,1,Water,Common,Basic,,Mizue,A1,39,https://ptcgpocket.gg/cards/a1-39-growlithe
Arcanine,Pokemon,,Fire,130,Heat Tackle,,"['fire', 'fire', 'colorless']",,100.0,,This Pokémon also does 20 damage to itself.,,,,2,Water,Rare,Stage 1,Growlithe,kodama,A1,40,https://ptcgpocket.gg/cards/a1-40-arcanine
Arcanine ex,Pokemon,,Fire,150,Inferno Onrush,,"['fire', 'fire', 'colorless']",,120.0,,This Pokémon also does 20 damage to itself.,,,,2,Water,Double Rare,Stage 1,Growlithe,PLANETA Saito,A1,41,https://ptcgpocket.gg/cards/a1-41-arcanineex
Ponyta,Pokemon,,Fire,60,Flare,,['fire'],,20.0,,,,,,1,Water,Common,Basic,,Uta,A1,42,https://ptcgpocket.gg/cards/a1-42-ponyta
Rapidash,Pokemon,,Fire,100,Fire Mane,,['fire'],,40.0,,,,,,1,Water,Uncommon,Stage 1,Ponyta,Misa Tsutsui,A1,43,https://ptcgpocket.gg/cards/a1-43-rapidash
Magmar,Pokemon,,Fire,80,Magma Punch,,"['fire', 'fire']",,50.0,,,,,,2,Water,Common,Basic,,Ryuta Fuse,A1,44,https://ptcgpocket.gg/cards/a1-44-magmar
Flareon,Pokemon,,Fire,120,Flamethrower,,"['fire', 'colorless', 'colorless']",,110.0,,Discard 1 fire Energy from this Pokémon.,,,,2,Water,Rare,Stage 1,Eevee,sui,A1,45,https://ptcgpocket.gg/cards/a1-45-flareon
Moltres,Pokemon,,Fire,100,Sky Attack,,"['fire', 'colorless', 'colorless']",,130.0,,"Flip a coin. If tails, this attack does nothing.",,,,1,Lightning,Rare,Basic,,Hitoshi Ariga,A1,46,https://ptcgpocket.gg/cards/a1-46-moltres
Moltres ex,Pokemon,,Fire,140,Heat Blast,,"['fire', 'colorless']",,70.0,,Flip 3 coins. Take an amount of colorless Energy from your Energy Zone equal to the number of heads and attach it to your Benched,,,,2,Lightning,Double Rare,Basic,,PLANETA Tsuji,A1,47,https://ptcgpocket.gg/cards/a1-47-moltresex
Heatmor,Pokemon,,Fire,80,Combustion,,['fire'],,30.0,,,,,,1,Water,Common,Basic,,Suwama Chiaki,A1,48,https://ptcgpocket.gg/cards/a1-48-heatmor
Salandit,Pokemon,,Fire,60,Scratch,,['fire'],,20.0,,,,,,1,Water,Common,Basic,,Kyoko Umemoto,A1,49,https://ptcgpocket.gg/cards/a1-49-salandit
Salazzle,Pokemon,,Fire,90,Fire Claws,,"['fire', 'colorless']",,60.0,,,,,,1,Water,Common,Stage 1,Salandit,hatachu,A1,50,https://ptcgpocket.gg/cards/a1-50-salazzle
Sizzlipede,Pokemon,,Fire,60,Gnaw,,['colorless'],,10.0,,,,,,1,Water,Common,Basic,,Teeziro,A1,51,https://ptcgpocket.gg/cards/a1-51-sizzlipede
Centiskorch,Pokemon,,Fire,130,Fire Blast,,"['fire', 'colorless', 'colorless', 'colorless']",,130.0,,Discard a fire Energy from this Pokémon.,,,,3,Water,Uncommon,Stage 1,Sizzlipede,GOSSAN,A1,52,https://ptcgpocket.gg/cards/a1-52-centiskorch
Squirtle,Pokemon,,Water,60,Water Gun,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,Mizue,A1,53,https://ptcgpocket.gg/cards/a1-53-squirtle
Wartortle,Pokemon,,Water,80,Wave Splash,,"['water', 'colorless']",,40.0,,,,,,1,Lightning,Uncommon,Stage 1,Squirtle,Nelnal,A1,54,https://ptcgpocket.gg/cards/a1-54-wartortle
Blastoise,Pokemon,,Water,150,,,"['water', 'water', 'colorless']",,,,"If this Pokémon has at least 2 extra water Energy attached, this attack does 60 more damage.",,,,3,Lightning,Rare,Stage 2,Wartortle,Nurikabe,A1,55,https://ptcgpocket.gg/cards/a1-55-blastoise
Blastoise ex,Pokemon,,Water,180,Surf,,"['water', 'colorless']","['water', 'water', 'colorless']",40.0,,,"If this Pokémon has at least 2 extra water Energy attached, this attack does 60 more damage.",,,3,Lightning,Double Rare,Stage 2,Wartortle,PLANETA Tsuji,A1,56,https://ptcgpocket.gg/cards/a1-56-blastoiseex
Psyduck,Pokemon,,Water,60,Headache,,['colorless'],,10.0,,Your opponent can't use any Supporter cards from their hand during their next turn.,,,,1,Lightning,Common,Basic,,Shibuzoh.,A1,57,https://ptcgpocket.gg/cards/a1-57-psyduck
Golduck,Pokemon,,Water,90,Aqua Edge,,"['water', 'water']",,70.0,,,,,,1,Lightning,Uncommon,Stage 1,Psyduck,Naoki Saito,A1,58,https://ptcgpocket.gg/cards/a1-58-golduck
Poliwag,Pokemon,,Water,60,Razor Fin,,['colorless'],,10.0,,,,,,1,Lightning,Common,Basic,,Shibuzoh.,A1,59,https://ptcgpocket.gg/cards/a1-59-poliwag
Poliwhirl,Pokemon,,Water,90,Knuckle Punch,,"['colorless', 'colorless']",,40.0,,,,,,2,Lightning,Uncommon,Stage 1,Poliwag,Yuka Morii,A1,60,https://ptcgpocket.gg/cards/a1-60-poliwhirl
Poliwrath,Pokemon,,Water,150,Mega Punch,,"['water', 'colorless', 'colorless']",,80.0,,,,Counterattack,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon, do 20 damage to the attacking Pokémon.",2,Lightning,Rare,Stage 2,Poliwhirl,Akira Komayama,A1,61,https://ptcgpocket.gg/cards/a1-61-poliwrath
Tentacool,Pokemon,,Water,60,Gentle Slap,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,Shinya Komatsu,A1,62,https://ptcgpocket.gg/cards/a1-62-tentacool
Tentacruel,Pokemon,,Water,110,Poison Tentacles,,"['water', 'colorless']",,50.0,,Your opponent's Active Pokémon is now Poisoned.,,,,2,Lightning,Uncommon,Stage 1,Tentacool,kodama,A1,63,https://ptcgpocket.gg/cards/a1-63-tentacruel
Seel,Pokemon,,Water,80,Headbutt,,"['colorless', 'colorless']",,30.0,,,,,,2,Lightning,Common,Basic,,Masako Yamashita,A1,64,https://ptcgpocket.gg/cards/a1-64-seel
Dewgong,Pokemon,,Water,120,Surf,,"['water', 'water', 'water']",,90.0,,,,,,3,Lightning,Uncommon,Stage 1,Seel,Kanako Eo,A1,65,https://ptcgpocket.gg/cards/a1-65-dewgong
Shellder,Pokemon,,Water,60,Tongue Slap,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,Sumiyoshi Kizuki,A1,66,https://ptcgpocket.gg/cards/a1-66-shellder
Cloyster,Pokemon,,Water,120,Surf,,"['water', 'water', 'colorless']",,70.0,,,,Shell Armor,This Pokémon takes -10 damage from attacks.,3,Lightning,Uncommon,Stage 1,Shellder,Saya Tsuruta,A1,67,https://ptcgpocket.gg/cards/a1-67-cloyster
Kingler,Pokemon,,Water,120,,,"['water', 'water', 'colorless']",,,,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",,,,3,Lightning,Uncommon,Stage 1,Krabby,Shigenori Negishi,A1,69,https://ptcgpocket.gg/cards/a1-69-kingler
Horsea,Pokemon,,Water,60,Water Gun,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,Saya Tsuruta,A1,70,https://ptcgpocket.gg/cards/a1-70-horsea
Seadra,Pokemon,,Water,70,,,"['water', 'water', 'water']",,,,This attack does 50 damage to 1 of your opponent's Pokémon.,,,,1,Lightning,Uncommon,Stage 1,Horsea,Sanosuke Sakuma,A1,71,https://ptcgpocket.gg/cards/a1-71-seadra
Goldeen,Pokemon,,Water,60,Flop,,['colorless'],,10.0,,,,,,1,Lightning,Common,Basic,,Kyoko Umemoto,A1,72,https://ptcgpocket.gg/cards/a1-72-goldeen
Seaking,Pokemon,,Water,100,Horn Hazard,,['water'],,80.0,,"Flip a coin. If tails, this attack does nothing.",,,,1,Lightning,Common,Stage 1,Goldeen,Kyoko Umemoto,A1,73,https://ptcgpocket.gg/cards/a1-73-seaking
Staryu,Pokemon,,Water,50,Smack,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,Hiroki Asanuma,A1,74,https://ptcgpocket.gg/cards/a1-74-staryu
Starmie,Pokemon,,Water,90,Wave Splash,,['water'],,40.0,,,,,,0,Lightning,Uncommon,Stage 1,Staryu,Yukiko Baba,A1,75,https://ptcgpocket.gg/cards/a1-75-starmie
Starmie ex,Pokemon,,Water,130,Hydro Splash,,"['water', 'water']",,90.0,,,,,,0,Lightning,Double Rare,Stage 1,Staryu,PLANETA Igarashi,A1,76,https://ptcgpocket.gg/cards/a1-76-starmieex
Magikarp,Pokemon,,Water,30,Splash,,['colorless'],,10.0,,,,,,1,Lightning,Common,Basic,,Sekio,A1,77,https://ptcgpocket.gg/cards/a1-77-magikarp
Gyarados,Pokemon,,Water,150,Hyper Beam,,"['water', 'water', 'water', 'water']",,100.0,,Discard a random Energy from your opponent's Active Pokémon.,,,,4,Lightning,Rare,Stage 1,Magikarp,Mitsuhiro Arita,A1,78,https://ptcgpocket.gg/cards/a1-78-gyarados
Lapras,Pokemon,,Water,100,,,['water'],,,,"If this Pokémon has at least 3 extra water Energy attached, this attack does 70 more damage.",,,,2,Lightning,Rare,Basic,,Sekio,A1,79,https://ptcgpocket.gg/cards/a1-79-lapras
Vaporeon,Pokemon,,Water,130,Bubble Drain,,"['water', 'colorless', 'colorless']",,60.0,,Heal 30 damage from this Pokémon.,,,,2,Lightning,Rare,Stage 1,Eevee,Kagemaru Himeno,A1,80,https://ptcgpocket.gg/cards/a1-80-vaporeon
Omanyte,Pokemon,,Water,90,Water Gun,,['water'],,40.0,,,,,,1,Lightning,Uncommon,Stage 1,Helix Fossil,Suwama Chiaki,A1,81,https://ptcgpocket.gg/cards/a1-81-omanyte
Omastar,Pokemon,,Water,140,Ancient Whirlpool,,"['water', 'colorless', 'colorless']",,70.0,,"During your opponent's next turn, the Defending Pokémon can't attack.",,,,2,Lightning,Rare,Stage 2,Omanyte,kirisAki,A1,82,https://ptcgpocket.gg/cards/a1-82-omastar
Articuno,Pokemon,,Water,100,Ice Beam,,"['water', 'water', 'colorless']",,60.0,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,1,Lightning,Rare,Basic,,Hitoshi Ariga,A1,83,https://ptcgpocket.gg/cards/a1-83-articuno
Articuno ex,Pokemon,,Water,140,Ice Wing,Blizzard,"['water', 'colorless']","['water', 'water', 'water']",40.0,80.0,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,,,2,Lightning,Double Rare,Basic,,PLANETA Saito,A1,84,https://ptcgpocket.gg/cards/a1-84-articunoex
Ducklett,Pokemon,,Water,50,Flap,,"['colorless', 'colorless']",,30.0,,,,,,1,Lightning,Common,Basic,,Yumi,A1,85,https://ptcgpocket.gg/cards/a1-85-ducklett
Swanna,Pokemon,,Water,90,Wing Attack,,"['colorless', 'colorless', 'colorless']",,70.0,,,,,,1,Lightning,Uncommon,Stage 1,Ducklett,sui,A1,86,https://ptcgpocket.gg/cards/a1-86-swanna
Froakie,Pokemon,,Water,60,Flop,,['colorless'],,10.0,,,,,,1,Lightning,Common,Basic,,Aya Kusube,A1,87,https://ptcgpocket.gg/cards/a1-87-froakie
Frogadier,Pokemon,,Water,80,Water Drip,,['colorless'],,30.0,,,,,,1,Lightning,Uncommon,Stage 1,Froakie,Akira Komayama,A1,88,https://ptcgpocket.gg/cards/a1-88-frogadier
Greninja,Pokemon,,Water,120,Mist Slash,,"['water', 'colorless']",,60.0,,,,Water Shuriken,"Once during your turn, you may do 20 damage to 1 of your opponent's Pokémon.",1,Lightning,Rare,Stage 2,Frogadier,5ban Graphics,A1,89,https://ptcgpocket.gg/cards/a1-89-greninja
Pyukumuku,Pokemon,,Water,70,Rain Splash,,['water'],,30.0,,,,,,1,Lightning,Common,Basic,,OOYAMA,A1,90,https://ptcgpocket.gg/cards/a1-90-pyukumuku
Bruxish,Pokemon,,Water,90,,,"['water', 'colorless']",,,,"If your opponent's Active Pokémon has damage on it, this attack does 60 more damage.",,,,1,Lightning,Uncommon,Basic,,Mizue,A1,91,https://ptcgpocket.gg/cards/a1-91-bruxish
Snom,Pokemon,,Water,50,Ram,,['colorless'],,10.0,,,,,,1,Metal,Common,Basic,,ryoma uratsuka,A1,92,https://ptcgpocket.gg/cards/a1-92-snom
Frosmoth,Pokemon,,Water,90,Powder Snow,,"['water', 'colorless']",,40.0,,Your opponent's Active Pokémon is now Asleep.,,,,1,Metal,Uncommon,Stage 1,Snom,aoki,A1,93,https://ptcgpocket.gg/cards/a1-93-frosmoth
Pikachu,Pokemon,,Lightning,60,Gnaw,,['lightning'],,20.0,,,,,,1,Fighting,Common,Basic,,Mitsuhiro Arita,A1,94,https://ptcgpocket.gg/cards/a1-94-pikachu
Raichu,Pokemon,,Lightning,100,Thunderbolt,,"['lightning', 'lightning', 'lightning']",,140.0,,Discard all Energy from this Pokémon.,,,,1,Fighting,Rare,Stage 1,Pikachu,AKIRA EGAWA,A1,95,https://ptcgpocket.gg/cards/a1-95-raichu
Pikachu ex,Pokemon,,Lightning,120,,,"['lightning', 'lightning', 'lightning']",,,,This attack does 30 damage for each of your Benched  Pokémon.,,,,1,Fighting,Double Rare,Basic,,PLANETA CG Works,A1,96,https://ptcgpocket.gg/cards/a1-96-pikachuex
Magnemite,Pokemon,,Lightning,60,Lightning Ball,,['lightning'],,20.0,,,,,,1,Fighting,Common,Basic,,sowsow,A1,97,https://ptcgpocket.gg/cards/a1-97-magnemite
Magneton,Pokemon,,Lightning,80,Spinning Attack,,"['lightning', 'colorless', 'colorless', 'colorless']",,60.0,,,,Volt Charge,"Once during your turn, you may take a lightning Energy from your Energy Zone and attach it to this Pokémon.",2,Fighting,Rare,Stage 1,Magnemite,kirisAki,A1,98,https://ptcgpocket.gg/cards/a1-98-magneton
Voltorb,Pokemon,,Lightning,60,Tackle,,['lightning'],,20.0,,,,,,1,Fighting,Common,Basic,,SATOSHI NAKAI,A1,99,https://ptcgpocket.gg/cards/a1-99-voltorb
Electrode,Pokemon,,Lightning,80,Electro Ball,,"['lightning', 'lightning']",,70.0,,,,,,0,Fighting,Uncommon,Stage 1,Voltorb,Asako Ito,A1,100,https://ptcgpocket.gg/cards/a1-100-electrode
Electabuzz,Pokemon,,Lightning,70,,,"['lightning', 'lightning']",,,,"Flip a coin. If heads, this attack does 40 more damage. If tails, this Pokémon also does 20 damage to itself.",,,,1,Fighting,Common,Basic,,Ryuta Fuse,A1,101,https://ptcgpocket.gg/cards/a1-101-electabuzz
Jolteon,Pokemon,,Lightning,90,,,"['lightning', 'colorless']",,,,Flip 4 coins. This attack does 40 damage for each heads.,,,,1,Fighting,Rare,Stage 1,Eevee,Kouki Saitou,A1,102,https://ptcgpocket.gg/cards/a1-102-jolteon
Zapdos,Pokemon,,Lightning,100,Raging Thunder,,"['lightning', 'lightning', 'colorless']",,100.0,,This attack also does 30 damage to 1 of your Benched Pokémon.,,,,1,Lightning,Rare,Basic,,Hitoshi Ariga,A1,103,https://ptcgpocket.gg/cards/a1-103-zapdos
Zapdos ex,Pokemon,,Lightning,130,Peck,,['lightning'],"['lightning', 'lightning', 'lightning']",20.0,,,Flip 4 coins. This attack does 50 damage for each heads.,,,1,Lightning,Double Rare,Basic,,PLANETA CG Works,A1,104,https://ptcgpocket.gg/cards/a1-104-zapdosex
Tynamo,Pokemon,,Lightning,30,Tiny Charge,,['lightning'],,30.0,,,,,,1,Fighting,Common,Basic,,Asako Ito,A1,107,https://ptcgpocket.gg/cards/a1-107-tynamo
Eelektrik,Pokemon,,Lightning,80,Head Bolt,,['lightning'],,40.0,,,,,,2,Fighting,Uncommon,Stage 1,Tynamo,Midori Harada,A1,108,https://ptcgpocket.gg/cards/a1-108-eelektrik
Eelektross,Pokemon,,Lightning,140,Thunder Fang,,"['lightning', 'lightning', 'colorless']",,80.0,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,3,Fighting,Rare,Stage 2,Eelektrik,hatachu,A1,109,https://ptcgpocket.gg/cards/a1-109-eelektross
Helioptile,Pokemon,,Lightning,60,Tail Whap,,['lightning'],,20.0,,,,,,1,Fighting,Common,Basic,,5ban Graphics,A1,110,https://ptcgpocket.gg/cards/a1-110-helioptile
Heliolisk,Pokemon,,Lightning,90,,,"['colorless', 'colorless']",,,,"Flip a coin. If heads, this attack does 40 more damage.",,,,1,Fighting,Common,Stage 1,Helioptile,otumami,A1,111,https://ptcgpocket.gg/cards/a1-111-heliolisk
Pincurchin,Pokemon,,Lightning,70,Thunder Shock,,"['lightning', 'lightning']",,30.0,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,1,Fighting,Uncommon,Basic,,Tika Matsuno,A1,112,https://ptcgpocket.gg/cards/a1-112-pincurchin
Clefairy,Pokemon,,Psychic,60,Slap,,['psychic'],,20.0,,,,,,1,Metal,Common,Basic,,kirisAki,A1,113,https://ptcgpocket.gg/cards/a1-113-clefairy
Clefable,Pokemon,,Psychic,100,Magical Shot,,['psychic'],,40.0,,,,,,1,Metal,Uncommon,Stage 1,Clefairy,Sanosuke Sakuma,A1,114,https://ptcgpocket.gg/cards/a1-114-clefable
Abra,Pokemon,,Psychic,60,,,['colorless'],,,,Switch this Pokémon with 1 of your Benched Pokémon.,,,,1,Darkness,Common,Basic,,Aya Kusube,A1,115,https://ptcgpocket.gg/cards/a1-115-abra
Kadabra,Pokemon,,Psychic,80,Super Psy Bolt,,"['psychic', 'colorless', 'colorless']",,60.0,,,,,,1,Darkness,Uncommon,Stage 1,Abra,Ken Sugimori,A1,116,https://ptcgpocket.gg/cards/a1-116-kadabra
Alakazam,Pokemon,,Psychic,130,,,"['psychic', 'colorless', 'colorless']",,,,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,,,,2,Darkness,Rare,Stage 2,Kadabra,Kouki Saitou,A1,117,https://ptcgpocket.gg/cards/a1-117-alakazam
Slowpoke,Pokemon,,Psychic,70,Tail Whap,,"['psychic', 'colorless']",,30.0,,,,,,2,Darkness,Common,Basic,,Miki Tanaka,A1,118,https://ptcgpocket.gg/cards/a1-118-slowpoke
Slowbro,Pokemon,,Psychic,130,Super Psy Bolt,,"['psychic', 'psychic', 'colorless']",,80.0,,,,,,3,Darkness,Uncommon,Stage 1,Slowpoke,Kagemaru Himeno,A1,119,https://ptcgpocket.gg/cards/a1-119-slowbro
