activity,datetime,hours
Client Production,2016-12-29 12:46:00,0.88
Client Production,2016-12-29 14:33:00,0.87
Client Production,2016-12-29 16:23:00,0.83
Client Production,2017-01-03 12:06:00,0.82
Client Production,2017-01-03 14:55:00,0.87
Client Production,2017-01-03 16:03:00,0.8
Client Production,2017-01-03 18:45:00,1.03
Client Production,2017-01-04 22:45:00,0.88
Client Production,2017-01-09 11:40:00,1.0
Client Production,2017-01-10 10:47:00,0.82
Client Production,2017-01-11 16:03:00,0.75
Client Production,2017-01-11 17:00:00,0.75
Client Production,2017-01-11 18:31:00,1.12
Client Production,2017-01-12 10:32:00,0.75
Client Production,2017-01-12 11:32:00,0.75
Client Production,2017-01-12 13:21:00,0.77
Client Production,2017-01-12 14:35:00,0.77
Client Production,2017-01-12 15:49:00,0.82
Client Production,2017-01-13 15:11:00,0.77
Client Production,2017-01-13 16:22:00,0.92
Client Production,2017-01-13 17:52:00,1.03
Client Production,2017-01-16 14:18:00,0.77
Client Production,2017-01-16 20:28:00,0.78
Client Production,2017-01-16 21:34:00,0.88
Client Production,2017-01-16 23:09:00,1.08
Client Production,2017-01-17 10:34:00,0.77
Client Production,2017-01-17 11:34:00,0.77
Client Production,2017-01-17 12:43:00,0.82
Client Production,2017-01-17 22:33:00,0.77
Client Production,2017-01-17 23:33:00,0.77
Client Production,2017-01-18 11:57:00,0.78
Client Production,2017-01-18 13:59:00,0.82
Client Production,2017-01-18 15:20:00,0.78
Client Production,2017-01-18 18:00:00,0.87
Client Production,2017-01-18 19:16:00,0.88
Client Production,2017-01-18 20:00:00,0.73
Client Production,2017-01-18 21:46:00,0.9
Client Production,2017-01-19 16:13:00,0.8
Client Production,2017-01-19 17:24:00,0.78
Client Production,2017-01-19 18:37:00,0.97
Client Production,2017-01-22 19:34:00,0.75
Client Production,2017-01-23 12:27:00,0.82
Client Production,2017-01-23 13:56:00,0.45
Client Production,2017-01-23 20:49:00,0.78
Client Production,2017-01-23 22:37:00,1.05
Client Production,2017-01-24 11:07:00,0.8
Client Production,2017-01-24 12:58:00,0.75
Client Production,2017-01-24 14:58:00,0.87
Client Production,2017-01-24 18:29:00,0.78
Client Production,2017-01-25 11:12:00,0.78
Client Production,2017-01-25 12:34:00,1.03
Client Production,2017-01-25 18:29:00,0.98
Client Production,2017-01-25 19:01:00,0.53
Client Production,2017-01-25 22:57:00,0.78
Client Production,2017-01-26 11:22:00,0.87
Client Production,2017-01-26 12:29:00,0.8
Client Production,2017-01-26 13:35:00,0.9
Client Production,2017-01-29 19:42:00,0.85
Client Production,2017-01-30 11:49:00,0.75
Client Production,2017-01-30 12:52:00,0.77
Client Production,2017-01-30 18:09:00,0.77
Client Production,2017-01-30 19:12:00,0.77
Client Production,2017-01-30 23:23:00,0.98
Client Production,2017-01-31 00:37:00,0.82
Client Production,2017-01-31 12:11:00,1.17
Client Production,2017-01-31 13:15:00,0.78
Client Production,2017-01-31 17:12:00,0.77
Client Production,2017-01-31 21:48:00,0.78
Client Production,2017-01-31 23:05:00,1.02
Client Production,2017-02-01 19:00:00,0.75
Client Production,2017-02-01 20:24:00,0.77
Client Production,2017-02-01 21:42:00,0.92
Client Production,2017-02-01 22:23:00,0.68
Client Production,2017-02-02 18:26:00,0.63
Client Production,2017-02-02 18:53:00,0.12
Client Production,2017-02-02 22:27:00,0.87
Client Production,2017-02-02 23:33:00,1.1
Client Production,2017-02-03 11:30:00,0.77
Client Production,2017-02-03 13:20:00,0.93
Client Production,2017-02-03 15:53:00,0.77
Client Production,2017-02-03 17:22:00,1.02
Client Production,2017-02-04 14:54:00,0.77
Client Production,2017-02-04 16:36:00,0.77
Client Production,2017-02-04 21:40:00,0.75
Client Production,2017-02-06 12:13:00,0.85
Client Production,2017-02-07 11:18:00,0.78
Client Production,2017-02-07 12:20:00,0.82
Client Production,2017-02-07 13:56:00,0.78
Client Production,2017-02-07 15:59:00,0.2
Client Production,2017-02-07 20:51:00,0.28
Client Production,2017-02-07 21:44:00,0.27
Client Production,2017-02-07 22:31:00,0.78
Client Production,2017-02-07 23:15:00,0.32
Client Production,2017-02-08 11:16:00,0.8
Client Production,2017-02-08 12:28:00,0.78
Client Production,2017-02-08 13:51:00,0.8
Client Production,2017-02-08 14:57:00,0.8
Client Production,2017-02-08 15:19:00,0.05
Client Production,2017-02-08 17:30:00,0.78
Client Production,2017-02-08 18:44:00,0.93
Client Production,2017-02-09 12:23:00,0.68
Client Production,2017-02-09 12:41:00,0.13
Client Production,2017-02-09 13:46:00,0.82
Client Production,2017-02-09 15:26:00,0.83
Client Production,2017-02-09 16:27:00,0.77
Client Production,2017-02-09 17:23:00,0.77
Client Production,2017-02-09 18:26:00,0.85
Client Production,2017-02-10 10:08:00,0.77
Client Production,2017-02-10 11:22:00,1.0
Client Production,2017-02-10 12:18:00,0.77
Client Production,2017-02-10 12:48:00,0.37
Client Production,2017-02-10 15:14:00,0.83
Client Production,2017-02-10 16:52:00,0.77
Client Production,2017-02-11 20:29:00,0.78
Client Production,2017-02-13 10:08:00,0.27
Client Production,2017-02-13 17:35:00,0.93
Client Production,2017-02-13 21:50:00,1.0
Client Production,2017-02-14 12:33:00,0.78
Client Production,2017-02-14 13:57:00,1.0
Client Production,2017-02-14 15:25:00,0.52
Client Production,2017-02-14 16:17:00,0.37
Client Production,2017-02-15 11:29:00,0.75
Client Production,2017-02-15 12:28:00,0.78
Client Production,2017-02-15 13:49:00,0.88
Client Production,2017-02-15 15:26:00,0.92
Client Production,2017-02-15 16:47:00,1.12
Client Production,2017-02-15 18:45:00,0.95
Client Production,2017-02-15 22:04:00,0.23
Client Production,2017-02-15 22:51:00,0.67
Client Production,2017-02-16 10:06:00,0.77
Client Production,2017-02-16 14:18:00,0.83
Client Production,2017-02-16 15:50:00,0.83
Client Production,2017-02-16 16:53:00,0.78
Client Production,2017-02-16 18:36:00,0.92
Client Production,2017-02-20 12:39:00,0.92
Client Production,2017-02-20 13:59:00,0.9
Client Production,2017-02-20 15:10:00,0.93
Client Production,2017-02-20 17:22:00,0.8
Client Production,2017-02-20 20:42:00,0.75
Client Production,2017-02-20 21:47:00,1.08
Client Production,2017-02-21 12:04:00,1.0
Client Production,2017-02-21 18:05:00,0.85
Client Production,2017-02-21 19:14:00,0.82
Client Production,2017-02-21 20:13:00,0.67
Client Production,2017-02-21 21:53:00,1.02
Client Production,2017-02-21 23:23:00,1.08
Client Production,2017-02-22 13:21:00,1.83
Client Production,2017-02-22 19:16:00,0.05
Client Production,2017-02-22 20:44:00,0.7
Client Production,2017-02-22 21:42:00,0.9
Client Production,2017-02-23 17:28:00,1.28
Client Production,2017-02-23 19:49:00,1.67
Client Production,2017-02-23 21:37:00,0.8
Client Production,2017-02-23 23:04:00,1.02
Client Production,2017-02-24 11:55:00,0.8
Client Production,2017-02-24 13:08:00,0.75
Client Production,2017-02-24 14:37:00,0.8
Client Production,2017-02-24 17:53:00,0.85
Client Production,2017-02-24 19:18:00,0.98
Client Production,2017-02-24 22:50:00,0.05
Client Production,2017-02-25 00:49:00,0.98
Client Production,2017-02-25 01:02:00,0.03
Client Production,2017-02-25 01:58:00,0.93
Client Production,2017-02-25 18:30:00,0.68
Client Production,2017-02-26 14:52:00,1.02
Client Production,2017-02-26 19:35:00,2.0
Client Production,2017-02-27 19:16:00,0.5
Client Production,2017-02-27 21:46:00,1.05
Client Production,2017-02-27 23:46:00,0.98
Client Production,2017-02-28 00:49:00,0.87
Client Production,2017-02-28 02:14:00,1.35
Client Production,2017-02-28 14:37:00,0.87
Client Production,2017-02-28 15:26:00,0.82
Client Production,2017-02-28 17:29:00,0.75
Client Production,2017-02-28 18:33:00,0.62
Client Production,2017-03-06 15:38:00,0.77
Client Production,2017-03-06 17:02:00,0.83
Client Production,2017-03-06 18:52:00,0.95
Client Production,2017-03-07 10:47:00,0.75
Client Production,2017-03-07 12:34:00,0.85
Client Production,2017-03-07 13:51:00,0.87
Client Production,2017-03-07 15:33:00,1.22
Client Production,2017-03-07 16:55:00,0.85
Client Production,2017-03-07 21:09:00,0.82
Client Production,2017-03-07 22:49:00,1.67
Client Production,2017-03-08 12:18:00,1.6
Client Production,2017-03-08 12:35:00,0.12
Client Production,2017-03-08 14:15:00,0.63
Client Production,2017-03-08 15:25:00,0.85
Client Production,2017-03-08 19:33:00,0.75
Client Production,2017-03-08 20:41:00,1.13
Client Production,2017-03-09 12:55:00,0.9
Client Production,2017-03-09 19:00:00,0.8
Client Production,2017-03-09 20:57:00,1.6
Client Production,2017-03-10 12:50:00,1.63
Client Production,2017-03-10 13:06:00,0.78
Client Production,2017-03-10 16:23:00,0.93
Client Production,2017-03-10 17:44:00,0.78
Client Production,2017-03-10 18:52:00,1.05
Client Production,2017-03-13 11:15:00,0.78
Client Production,2017-03-13 12:09:00,0.9
Client Production,2017-03-13 13:01:00,0.78
Client Production,2017-03-13 14:11:00,0.92
Client Production,2017-03-13 18:03:00,0.93
Client Production,2017-03-13 22:09:00,0.8
Client Production,2017-03-15 13:04:00,1.98
Client Production,2017-03-15 14:12:00,0.8
Client Production,2017-03-15 15:15:00,0.75
Client Production,2017-03-15 17:03:00,0.77
Client Production,2017-03-15 17:49:00,0.77
Client Production,2017-03-16 15:23:00,0.57
Client Production,2017-03-17 11:18:00,0.23
Client Production,2017-03-17 12:11:00,0.88
Client Production,2017-03-17 13:59:00,0.75
Client Production,2017-03-17 14:50:00,0.8
Client Production,2017-03-17 17:25:00,1.02
Client Production,2017-03-17 18:54:00,1.48
Client Production,2017-03-19 16:30:00,1.52
Client Production,2017-03-20 10:49:00,0.82
Client Production,2017-03-20 12:13:00,1.0
Client Production,2017-03-20 13:04:00,0.83
Client Production,2017-03-20 14:56:00,0.87
Client Production,2017-03-20 16:23:00,0.83
Client Production,2017-03-20 18:40:00,1.02
Client Production,2017-03-22 09:50:00,0.53
Client Production,2017-03-23 00:13:00,2.65
Client Production,2017-03-23 11:25:00,0.92
Client Production,2017-03-23 18:19:00,1.0
Client Production,2017-03-23 19:30:00,0.95
Client Production,2017-03-24 12:52:00,1.52
Client Production,2017-03-24 13:52:00,0.85
Client Production,2017-03-24 15:23:00,0.77
Client Production,2017-03-24 16:08:00,0.75
Client Production,2017-03-24 17:40:00,1.53
Client Production,2017-03-26 12:35:00,1.15
Client Production,2017-03-27 11:43:00,0.78
Client Production,2017-03-27 14:50:00,0.82
Client Production,2017-03-27 16:29:00,0.28
Client Production,2017-03-27 17:07:00,0.5
Client Production,2017-03-27 17:58:00,0.82
Client Production,2017-03-27 23:54:00,0.88
Client Production,2017-03-28 22:04:00,0.95
Client Production,2017-03-29 12:30:00,1.55
Client Production,2017-03-29 14:15:00,1.07
Client Production,2017-03-29 16:30:00,0.95
Client Production,2017-03-29 17:55:00,1.15
Client Production,2017-03-30 19:00:00,0.82
Client Production,2017-03-31 12:05:00,1.52
Client Production,2017-03-31 13:46:00,0.75
Client Production,2017-03-31 17:00:00,2.08
Client Production,2017-04-03 13:15:00,0.85
Client Production,2017-04-03 14:35:00,0.98
Client Production,2017-04-03 16:53:00,1.68
Client Production,2017-04-03 19:11:00,2.15
Client Production,2017-04-04 10:44:00,0.82
Client Production,2017-04-04 13:01:00,1.75
Client Production,2017-04-04 17:26:00,0.78
Client Production,2017-04-04 18:34:00,1.03
Client Production,2017-04-04 20:09:00,1.07
Client Production,2017-04-06 13:22:00,0.88
Client Production,2017-04-06 15:12:00,0.77
Client Production,2017-04-06 16:27:00,0.72
Client Production,2017-04-06 18:59:00,2.15
Client Production,2017-04-07 17:49:00,0.75
Client Production,2017-04-07 18:05:00,0.25
Client Production,2017-04-07 18:58:00,0.8
Client Production,2017-04-07 19:53:00,0.8
Client Production,2017-04-07 21:41:00,1.65
Client Production,2017-04-10 14:51:00,0.75
Client Production,2017-04-10 16:59:00,0.92
Client Production,2017-04-10 18:15:00,0.77
Client Production,2017-04-11 17:05:00,0.75
Client Production,2017-04-12 11:33:00,1.72
Client Production,2017-04-12 12:22:00,0.82
Client Production,2017-04-13 12:13:00,0.25
Client Production,2017-04-13 14:57:00,1.47
Client Production,2017-04-13 17:15:00,1.05
Client Production,2017-04-13 18:01:00,0.77
Client Production,2017-04-13 23:10:00,0.95
Client Production,2017-04-14 12:34:00,0.77
Client Production,2017-04-14 13:20:00,0.77
Client Production,2017-04-14 14:40:00,0.77
Client Production,2017-04-14 16:02:00,0.77
Client Production,2017-04-14 18:52:00,1.83
Client Production,2017-04-15 12:08:00,0.75
Client Production,2017-04-17 15:04:00,1.1
Client Production,2017-04-17 15:52:00,0.8
Client Production,2017-04-17 17:01:00,0.97
Client Production,2017-04-17 22:00:00,0.97
Client Production,2017-04-17 23:14:00,0.85
Client Production,2017-04-18 19:15:00,0.8
Client Production,2017-04-18 20:15:00,0.9
Client Production,2017-04-19 16:23:00,0.75
Client Production,2017-04-19 17:32:00,0.95
Client Production,2017-04-19 18:24:00,0.5
Client Production,2017-04-19 19:01:00,0.4
Client Production,2017-04-19 20:42:00,1.02
Client Production,2017-04-19 20:54:00,0.17
Client Production,2017-04-20 13:07:00,0.92
Client Production,2017-04-20 15:02:00,1.92
Client Production,2017-04-20 19:48:00,2.35
Client Production,2017-04-24 14:13:00,1.57
Client Production,2017-04-24 18:35:00,1.43
Client Production,2017-04-24 21:59:00,1.73
Client Production,2017-04-25 15:04:00,0.78
Client Production,2017-04-25 16:08:00,0.88
Client Production,2017-04-26 16:33:00,0.53
Client Production,2017-04-26 18:07:00,1.35
Client Production,2017-04-27 14:38:00,3.05
Client Production,2017-04-27 17:19:00,0.47
Client Production,2017-04-27 17:58:00,0.35
Client Production,2017-04-27 19:37:00,1.05
Client Production,2017-04-27 20:48:00,0.92
Client Production,2017-04-28 13:09:00,0.78
Client Production,2017-04-28 14:56:00,1.48
Client Production,2017-04-28 16:45:00,0.93
Client Production,2017-05-01 12:39:00,0.82
Client Production,2017-05-01 17:39:00,0.92
Client Production,2017-05-01 18:47:00,0.18
Client Production,2017-05-01 20:32:00,0.68
Client Production,2017-05-02 00:42:00,2.13
Client Production,2017-05-02 12:52:00,0.78
Client Production,2017-05-02 14:37:00,1.67
Client Production,2017-05-02 18:56:00,1.77
Client Production,2017-05-02 19:35:00,0.43
Client Production,2017-05-02 22:12:00,1.03
Client Production,2017-05-03 13:20:00,1.87
Client Production,2017-05-03 15:58:00,1.72
Client Production,2017-05-03 19:13:00,1.65
Client Production,2017-05-03 21:25:00,0.03
Client Production,2017-05-03 23:02:00,0.78
Client Production,2017-05-05 14:36:00,0.92
Client Production,2017-05-05 16:00:00,0.87
Client Production,2017-05-05 17:05:00,0.47
Client Production,2017-05-08 11:24:00,0.9
Client Production,2017-05-08 12:16:00,0.87
Client Production,2017-05-08 13:17:00,0.82
Client Production,2017-05-08 17:53:00,0.8
Client Production,2017-05-08 19:42:00,0.48
Client Production,2017-05-08 21:40:00,0.4
Client Production,2017-05-08 23:30:00,1.83
Client Production,2017-05-09 11:49:00,0.82
Client Production,2017-05-09 15:28:00,0.73
Client Production,2017-05-09 17:21:00,0.82
Client Production,2017-05-09 18:41:00,0.77
Client Production,2017-05-10 11:09:00,0.78
Client Production,2017-05-10 12:02:00,0.85
Client Production,2017-05-10 13:48:00,1.75
Client Production,2017-05-10 19:24:00,0.88
Client Production,2017-05-10 20:13:00,0.82
Client Production,2017-05-11 19:01:00,0.8
Client Production,2017-05-11 19:47:00,0.77
Client Production,2017-05-11 21:22:00,0.75
Client Production,2017-05-11 23:38:00,1.42
Client Production,2017-05-12 11:08:00,0.85
Client Production,2017-05-12 12:15:00,0.77
Client Production,2017-05-12 16:07:00,0.8
Client Production,2017-05-12 17:14:00,1.12
Client Production,2017-05-12 18:42:00,1.27
Client Production,2017-05-15 13:00:00,1.02
Client Production,2017-05-15 14:06:00,0.75
Client Production,2017-05-15 18:12:00,1.55
Client Production,2017-05-15 18:35:00,0.37
Client Production,2017-05-15 19:24:00,0.42
Client Production,2017-05-15 20:50:00,0.82
Client Production,2017-05-15 21:39:00,0.82
Client Production,2017-05-16 11:49:00,0.87
Client Production,2017-05-16 12:47:00,0.87
Client Production,2017-05-16 16:02:00,0.83
Client Production,2017-05-16 18:05:00,0.77
Client Production,2017-05-16 22:30:00,1.97
Client Production,2017-05-17 10:43:00,1.05
Client Production,2017-05-17 17:32:00,0.8
Client Production,2017-05-17 22:16:00,0.88
Client Production,2017-05-18 00:30:00,0.63
Client Production,2017-05-18 15:24:00,0.88
Client Production,2017-05-18 19:22:00,0.88
Client Production,2017-05-18 20:25:00,0.87
Client Production,2017-05-19 11:25:00,0.88
Client Production,2017-05-19 11:59:00,0.57
Client Production,2017-05-19 13:15:00,0.75
Client Production,2017-05-19 15:04:00,0.78
Client Production,2017-05-19 15:49:00,0.75
Client Production,2017-05-19 16:35:00,0.77
Client Production,2017-05-19 23:32:00,0.9
Client Production,2017-05-20 18:18:00,0.57
Client Production,2017-05-20 18:52:00,0.2
Client Production,2017-05-20 19:27:00,0.58
Client Production,2017-05-20 19:49:00,0.28
Client Production,2017-05-20 21:43:00,0.8
Client Production,2017-05-21 15:37:00,1.02
Client Production,2017-05-22 18:05:00,0.77
Client Production,2017-05-22 21:27:00,0.08
Client Production,2017-05-22 22:17:00,0.77
Client Production,2017-05-23 09:52:00,0.87
Client Production,2017-05-23 10:44:00,0.87
Client Production,2017-05-23 13:33:00,0.22
Client Production,2017-05-23 14:43:00,0.55
Client Production,2017-05-23 17:50:00,0.78
Client Production,2017-05-24 00:10:00,0.92
Client Production,2017-05-24 01:17:00,1.12
Client Production,2017-05-24 14:01:00,0.87
Client Production,2017-05-24 17:01:00,0.92
Client Production,2017-05-24 19:30:00,0.93
Client Production,2017-05-24 20:16:00,0.77
Client Production,2017-05-24 20:31:00,0.25
Client Production,2017-05-24 23:02:00,0.88
Client Production,2017-05-25 16:20:00,0.75
Client Production,2017-05-30 14:46:00,0.9
Client Production,2017-05-30 15:56:00,0.97
Client Production,2017-05-30 20:22:00,0.75
Client Production,2017-05-30 21:03:00,0.67
Client Production,2017-05-31 12:45:00,0.78
Client Production,2017-05-31 14:51:00,0.8
Client Production,2017-05-31 18:46:00,0.75
Client Production,2017-06-01 10:23:00,0.77
Client Production,2017-06-01 11:08:00,0.75
Client Production,2017-06-01 17:56:00,0.75
Client Production,2017-06-01 18:43:00,0.75
Client Production,2017-06-02 11:31:00,0.85
Client Production,2017-06-02 12:19:00,0.8
Client Production,2017-06-02 15:28:00,0.83
Client Production,2017-06-02 16:32:00,0.8
Client Production,2017-06-02 17:29:00,0.8
Client Production,2017-06-02 18:11:00,0.7
Client Production,2017-06-05 15:52:00,2.25
Client Production,2017-06-05 19:09:00,0.85
Client Production,2017-06-05 20:10:00,0.85
Client Production,2017-06-05 22:33:00,0.83
Client Production,2017-06-06 11:34:00,0.77
Client Production,2017-06-06 12:38:00,0.75
Client Production,2017-06-06 13:29:00,0.85
Client Production,2017-06-06 14:27:00,0.97
Client Production,2017-06-06 16:11:00,0.77
Client Production,2017-06-06 17:10:00,0.98
Client Production,2017-06-07 13:37:00,0.8
Client Production,2017-06-07 14:40:00,0.8
Client Production,2017-06-07 15:30:00,0.83
Client Production,2017-06-07 23:45:00,0.75
Client Production,2017-06-08 00:45:00,0.75
Client Production,2017-06-08 17:42:00,0.82
Client Production,2017-06-10 10:21:00,0.8
Client Production,2017-06-10 11:07:00,0.77
Client Production,2017-06-10 11:52:00,0.75
Client Production,2017-06-10 12:36:00,0.52
Client Production,2017-06-12 12:00:00,0.8
Client Production,2017-06-12 12:45:00,0.75
Client Production,2017-06-12 13:45:00,0.75
Client Production,2017-06-13 14:05:00,0.83
Client Production,2017-06-13 15:44:00,1.27
Client Production,2017-06-13 21:53:00,0.83
Client Production,2017-06-14 12:31:00,1.43
Client Production,2017-06-14 16:48:00,3.73
Client Production,2017-06-14 19:10:00,0.8
Client Production,2017-06-14 20:50:00,1.62
Client Production,2017-06-14 22:00:00,0.98
Client Production,2017-06-15 15:56:00,0.85
Client Production,2017-06-15 19:15:00,2.07
Client Production,2017-06-15 20:34:00,0.57
Client Production,2017-06-16 12:32:00,0.77
Client Production,2017-06-16 13:24:00,0.87
Client Production,2017-06-16 14:40:00,1.25
Client Production,2017-06-16 17:46:00,0.93
Client Production,2017-06-16 18:33:00,0.78
Client Production,2017-06-16 20:32:00,1.42
Client Production,2017-06-16 21:25:00,0.45
Client Production,2017-06-19 20:35:00,1.07
Client Production,2017-06-19 21:33:00,0.8
Client Production,2017-06-21 14:13:00,0.88
Client Production,2017-06-21 15:16:00,1.05
Client Production,2017-06-21 16:40:00,0.75
Client Production,2017-06-21 17:50:00,0.8
Client Production,2017-06-22 17:02:00,0.9
Client Production,2017-06-22 18:08:00,0.78
Client Production,2017-06-22 20:38:00,0.8
Client Production,2017-06-23 16:03:00,0.75
Client Production,2017-06-23 16:56:00,0.75
Client Production,2017-06-23 19:17:00,0.8
Client Production,2017-06-23 20:06:00,0.8
Client Production,2017-06-23 21:33:00,0.92
Client Production,2017-06-23 23:02:00,0.95
Client Production,2017-06-26 20:26:00,0.75
Client Production,2017-06-26 21:13:00,0.78
Client Production,2017-06-27 11:23:00,1.07
Client Production,2017-06-27 13:54:00,1.0
Client Production,2017-06-28 10:55:00,0.75
Client Production,2017-06-28 11:44:00,0.82
Client Production,2017-06-28 12:32:00,0.8
Client Production,2017-06-28 13:55:00,0.75
Client Production,2017-06-28 16:05:00,0.78
Client Production,2017-06-28 16:55:00,0.77
Client Production,2017-06-28 17:58:00,0.93
Client Production,2017-06-29 11:49:00,0.75
Client Production,2017-06-29 12:56:00,1.02
Client Production,2017-06-29 14:05:00,0.85
Client Production,2017-06-29 17:43:00,0.75
Client Production,2017-06-29 18:55:00,0.8
Client Production,2017-06-29 19:40:00,0.75
Client Production,2017-06-30 16:09:00,0.9
Client Production,2017-06-30 17:58:00,0.72
Client Production,2017-06-30 18:56:00,0.95
Client Production,2017-07-03 14:34:00,1.0
Client Production,2017-07-03 15:33:00,0.18
Client Production,2017-07-03 16:18:00,0.75
Client Production,2017-07-03 18:31:00,0.77
Client Production,2017-07-03 19:38:00,0.77
Client Production,2017-07-03 20:36:00,0.8
Client Production,2017-07-05 13:05:00,0.8
Client Production,2017-07-05 14:04:00,0.93
Client Production,2017-07-05 15:53:00,0.8
Client Production,2017-07-05 21:06:00,0.88
Client Production,2017-07-06 12:05:00,0.83
Client Production,2017-07-06 13:16:00,1.12
Client Production,2017-07-06 14:26:00,0.82
Client Production,2017-07-06 15:21:00,0.92
Client Production,2017-07-06 17:46:00,1.05
Client Production,2017-07-06 18:49:00,0.9
Client Production,2017-07-11 16:13:00,0.77
Client Production,2017-07-11 16:59:00,0.77
Client Production,2017-07-11 19:43:00,0.73
Client Production,2017-07-12 00:59:00,0.8
Client Production,2017-07-12 22:53:00,0.9
Client Production,2017-07-13 13:54:00,0.9
Client Production,2017-07-13 17:51:00,0.98
Client Production,2017-07-14 11:52:00,0.95
Client Production,2017-07-14 14:33:00,1.12
Client Production,2017-07-14 15:31:00,0.75
Client Production,2017-07-14 16:33:00,1.03
Client Production,2017-07-14 17:41:00,0.77
Client Production,2017-07-14 18:35:00,0.9
Client Production,2017-07-18 11:42:00,0.92
Client Production,2017-07-18 19:55:00,1.92
Client Production,2017-07-18 20:51:00,0.8
Client Production,2017-07-18 21:50:00,0.9
Client Production,2017-07-19 10:59:00,0.97
Client Production,2017-07-19 15:38:00,1.03
Client Production,2017-07-19 18:01:00,1.9
Client Production,2017-07-20 12:07:00,0.78
Client Production,2017-07-20 13:11:00,1.05
Client Production,2017-07-20 14:32:00,0.85
Client Production,2017-07-20 20:52:00,0.22
Client Production,2017-07-21 12:49:00,0.75
